Date,q,PV1_current,PV1_next,Difference_PV1,k1,k2,PV2_current,PV2_next,Difference_PV2
08-Jan-2015,-0.890313,1.166884,1.163833,-0.003051,-1.31747,-0.25314,-0.572136,-0.571207,0.000929
15-Jan-2015,-0.873877,1.177617,1.187815,0.010198,-1.334947,-0.249475,-0.585249,-0.586172,-0.000924
22-Jan-2015,-0.872956,1.188593,1.186555,-0.002038,-1.34531,-0.249801,-0.596661,-0.595311,0.00135
29-Jan-2015,-0.861458,1.196429,1.196804,0.000375,-1.360249,-0.247338,-0.607954,-0.608208,-0.000255
05-Feb-2015,-0.858007,1.199774,1.200629,0.000855,-1.36753,-0.246744,-0.614896,-0.615752,-0.000857
12-Feb-2015,-0.856809,1.201657,1.203646,0.001989,-1.372361,-0.24666,-0.620457,-0.621501,-0.001043
19-Feb-2015,-0.857956,1.202667,1.196821,-0.005846,-1.375643,-0.247168,-0.625179,-0.622155,0.003024
26-Feb-2015,-0.848644,1.204841,1.206848,0.002007,-1.38882,-0.245182,-0.633452,-0.633894,-0.000443
05-Mar-2015,-0.854962,1.201499,1.203142,0.001643,-1.388277,-0.246978,-0.63488,-0.633666,0.001214
12-Mar-2015,-0.851577,1.206018,1.202203,-0.003814,-1.398923,-0.246559,-0.643801,-0.643191,0.00061
19-Mar-2015,-0.838837,1.213224,1.21284,-0.000384,-1.41406,-0.243643,-0.655615,-0.656606,-0.000991
26-Mar-2015,-0.841105,1.2109,1.210222,-0.000678,-1.41505,-0.244352,-0.658188,-0.657336,0.000852
02-Apr-2015,-0.832226,1.217916,1.219457,0.001541,-1.429419,-0.242489,-0.66991,-0.670551,-0.000641
09-Apr-2015,-0.832831,1.218936,1.2163,-0.002636,-1.434138,-0.242898,-0.675562,-0.675111,0.00045
16-Apr-2015,-0.829033,1.219572,1.22081,0.001238,-1.441693,-0.24216,-0.681923,-0.682769,-0.000845
23-Apr-2015,-0.832187,1.218124,1.222063,0.003939,-1.443545,-0.243172,-0.685454,-0.685795,-0.000341
30-Apr-2015,-0.836253,1.218637,1.222894,0.004258,-1.447399,-0.244548,-0.690746,-0.692293,-0.001547
07-May-2015,-0.841309,1.218688,1.222365,0.003677,-1.448974,-0.246104,-0.695137,-0.695069,6.8e-05
14-May-2015,-0.842909,1.221041,1.220185,-0.000857,-1.45591,-0.246912,-0.702562,-0.702689,-0.000127
21-May-2015,-0.838484,1.223854,1.223892,3.8e-05,-1.465131,-0.246062,-0.711061,-0.709261,0.0018
28-May-2015,-0.831486,1.229752,1.234553,0.0048,-1.480652,-0.244743,-0.723452,-0.724826,-0.001374
04-Jun-2015,-0.834417,1.232118,1.232607,0.000489,-1.485563,-0.245837,-0.730578,-0.730853,-0.000275
11-Jun-2015,-0.83546,1.231747,1.233327,0.00158,-1.49051,-0.246377,-0.736171,-0.734963,0.001208
18-Jun-2015,-0.831811,1.236346,1.236509,0.000163,-1.503521,-0.245903,-0.7474,-0.748806,-0.001406
25-Jun-2015,-0.829988,1.238014,1.240622,0.002609,-1.509867,-0.245655,-0.75486,-0.753359,0.0015
02-Jul-2015,-0.823286,1.246216,1.243522,-0.002693,-1.52791,-0.244481,-0.770219,-0.768159,0.00206
09-Jul-2015,-0.813501,1.251796,1.252462,0.000666,-1.545889,-0.242359,-0.784153,-0.784601,-0.000447
16-Jul-2015,-0.809507,1.255848,1.254854,-0.000994,-1.557117,-0.24165,-0.795118,-0.792413,0.002705
23-Jul-2015,-0.803479,1.260001,1.255292,-0.004708,-1.573939,-0.240555,-0.808136,-0.811325,-0.003189
30-Jul-2015,-0.796997,1.260838,1.261308,0.00047,-1.579661,-0.23885,-0.815532,-0.813902,0.00163
06-Aug-2015,-0.792434,1.26523,1.264445,-0.000785,-1.59512,-0.238109,-0.828576,-0.82767,0.000906
13-Aug-2015,-0.787062,1.269087,1.26797,-0.001117,-1.609616,-0.23707,-0.841134,-0.840367,0.000767
20-Aug-2015,-0.77918,1.274851,1.281314,0.006463,-1.626989,-0.235369,-0.856114,-0.855499,0.000615
27-Aug-2015,-0.787359,1.2743,1.272915,-0.001385,-1.632179,-0.238041,-0.862933,-0.863088,-0.000155
03-Sep-2015,-0.784016,1.27578,1.275823,4.3e-05,-1.642772,-0.237436,-0.873061,-0.873242,-0.000181
10-Sep-2015,-0.782453,1.277159,1.277289,0.00013,-1.65277,-0.237342,-0.883058,-0.883349,-0.000292
17-Sep-2015,-0.780834,1.278668,1.274767,-0.003901,-1.662978,-0.237233,-0.893358,-0.893566,-0.000208
24-Sep-2015,-0.773206,1.281307,1.278221,-0.003086,-1.677038,-0.235431,-0.905931,-0.906633,-0.000702
01-Oct-2015,-0.766733,1.283797,1.285849,0.002052,-1.690061,-0.233929,-0.91822,-0.918698,-0.000478
08-Oct-2015,-0.76724,1.285414,1.28476,-0.000655,-1.700033,-0.234439,-0.928998,-0.928418,0.00058
15-Oct-2015,-0.761913,1.289343,1.288689,-0.000654,-1.716643,-0.233392,-0.943952,-0.944641,-0.000689
22-Oct-2015,-0.758371,1.291738,1.293676,0.001938,-1.7293,-0.232742,-0.956606,-0.957118,-0.000511
29-Oct-2015,-0.760148,1.292159,1.295045,0.002885,-1.738197,-0.233591,-0.966641,-0.966713,-7.2e-05
05-Nov-2015,-0.762837,1.292775,1.295955,0.00318,-1.747869,-0.234746,-0.977247,-0.976701,0.000546
12-Nov-2015,-0.764447,1.294605,1.292223,-0.002383,-1.760572,-0.23567,-0.99003,-0.990256,-0.000227
19-Nov-2015,-0.756423,1.299008,1.296312,-0.002696,-1.779263,-0.233811,-1.007166,-1.007244,-7.7e-05
26-Nov-2015,-0.749478,1.302221,1.3032,0.000979,-1.796786,-0.232228,-1.023224,-1.023947,-0.000723
03-Dec-2015,-0.749338,1.303318,1.302615,-0.000703,-1.808385,-0.232552,-1.035687,-1.035124,0.000563
10-Dec-2015,-0.739741,1.310851,1.309182,-0.001668,-1.834123,-0.230368,-1.058737,-1.059265,-0.000528
17-Dec-2015,-0.733552,1.314522,1.314752,0.00023,-1.852535,-0.228993,-1.076321,-1.075728,0.000594
24-Dec-2015,-0.728638,1.319012,1.318907,-0.000105,-1.873679,-0.22808,-1.095897,-1.096256,-0.000359
31-Dec-2015,-0.725362,1.321747,NaN,NaN,-1.890883,-0.227549,-1.112853,NaN,NaN
